makanan,kenyang,sehat,rasa,bosan,harga
ayamgeprek,0.9,0.5,0.7,0.2,15000
nasipadang,1.0,0.8,0.9,0.5,17000
mieayam,1.0,0.6,0.9,0.3,10000
bakso,0.7,0.3,1.0,0.3,10000
cireng,0.5,0.4,0.8,0.7,10000
nasigoreng,0.8,0.7,1.0,0.5,14000
seblak,0.6,0.2,0.8,0.8,15000
gorengan,0.5,0.2,0.5,0.5,10000
capcay,0.6,0.9,0.8,0.4,15000
mi instan,0.5,0.1,0.7,0.2,10000
roti,0.3,0.3,0.9,0.3,10000
nasitelur,0.7,0.4,0.8,0.8,12000
warteg,0.8,0.8,0.6,0.2,18000
nasibebek,1.0,0.6,0.9,0.5,20000
tahutek,0.7,0.5,0.8,0.4,15000
sotoayam,0.8,0.7,0.9,0.3,15000
nasigorengkambing,1.0,0.5,0.9,0.6,18000
lontongsayur,0.6,0.7,0.8,0.4,12000
rawon,0.9,0.7,0.9,0.5,20000
pecellele,0.8,0.6,0.8,0.5,15000
gado2,0.6,0.9,0.8,0.3,15000
sateayam,0.9,0.6,1.0,0.4,20000
nasikuning,0.7,0.6,0.9,0.4,12000
buburayam,0.5,0.5,0.8,0.2,12000
lontongbalap,0.7,0.6,0.8,0.4,15000
sotolamongan,0.8,0.7,0.9,0.3,15000
tahucampur,0.6,0.5,0.8,0.4,12000
ayamkremes,0.9,0.6,0.9,0.4,17000
nasiliwet,0.8,0.7,0.9,0.4,18000
rujakcingur,0.5,0.7,0.8,0.5,15000
